id,region,product,amount_cents
166206,North,Widget,831
166226,North,Gadget,579
166232,North,Doohickey,599
166234,North,Doohickey,736
166251,North,Widget,877
166261,North,Gadget,550
166265,North,Gizmo,874
166277,North,Gadget,623
166284,North,Gadget,839
166289,North,Widget,831
166296,North,Widget,518
166322,North,Gadget,980
166336,North,Gizmo,672
166340,North,Gizmo,534
166346,North,Widget,946
166355,North,Gizmo,520
166370,North,Gizmo,573
166392,North,Doohickey,751
166398,North,Widget,559
166415,North,Doohickey,858
166419,North,Gizmo,975
166421,North,Gadget,877
166422,North,Widget,582
166433,North,Gadget,539
166434,North,Gadget,994
166437,North,Doohickey,585
166438,North,Doohickey,670
166447,North,Gizmo,626
166470,North,Gadget,886
166476,North,Doohickey,664
166500,North,Gizmo,549
166501,North,Widget,846
166508,North,Gizmo,625
166513,North,Gizmo,894
166517,North,Widget,861
166518,North,Doohickey,712
166522,North,Widget,588
166524,North,Doohickey,969
166528,North,Gadget,897
166532,North,Doohickey,864
166535,North,Doohickey,693
166542,North,Gadget,993
166549,North,Gadget,998
166565,North,Gadget,999
166570,North,Gadget,531
166574,North,Gadget,549
166585,North,Doohickey,584
166594,North,Gadget,941
166599,North,Gadget,505
166607,North,Widget,857
166608,North,Gadget,892
166609,North,Doohickey,622
166614,North,Doohickey,600
166616,North,Widget,675
166622,North,Gizmo,682
166629,North,Gizmo,997
166634,North,Widget,943
166645,North,Gizmo,612
166646,North,Gizmo,880
166647,North,Widget,938
166657,North,Widget,714
166684,North,Widget,744
166690,North,Doohickey,846
166701,North,Doohickey,732
166705,North,Gadget,772
166708,North,Doohickey,871
166710,North,Widget,596
166714,North,Widget,711
166721,North,Widget,926
166735,North,Widget,919
166762,North,Gadget,623
166767,North,Gizmo,540
166768,North,Gadget,720
166772,North,Widget,776
166775,North,Gizmo,827
166777,North,Widget,685
166782,North,Doohickey,927
166787,North,Gadget,782
166797,North,Widget,664
166803,North,Gadget,872
166808,North,Doohickey,729
166817,North,Gizmo,721
166823,North,Gadget,800
166837,North,Doohickey,641
166841,North,Gizmo,742
166844,North,Widget,986
166845,North,Widget,998
166884,North,Widget,867
166888,North,Doohickey,967
166889,North,Gizmo,890
166893,North,Doohickey,658
166903,North,Gizmo,703
166926,North,Doohickey,983
166928,North,Doohickey,575
166945,North,Gizmo,808
166953,North,Doohickey,789
166958,North,Gadget,735
166974,North,Gizmo,517
166977,North,Gizmo,609
166983,North,Widget,558
167021,North,Widget,767
167025,North,Gizmo,635
167030,North,Gizmo,927
167054,North,Widget,619
167065,North,Doohickey,827
167067,North,Gadget,684
167081,North,Widget,994
167100,North,Gizmo,682
167133,North,Gizmo,878
167140,North,Gizmo,634
167141,North,Gizmo,629
167152,North,Widget,662
167174,North,Widget,819
167175,North,Gadget,515
167176,North,Gizmo,983
