id,region,product,amount_cents
490121,North,Doohickey,678
490123,North,Gizmo,839
490134,North,Widget,846
490150,North,Doohickey,591
490162,North,Gizmo,733
490176,North,Widget,751
490212,North,Gadget,936
490215,North,Doohickey,955
490226,North,Gizmo,775
490236,North,Doohickey,958
490252,North,Widget,553
490257,North,Gizmo,775
490262,North,Gadget,790
490266,North,Gadget,583
490276,North,Doohickey,907
490278,North,Gizmo,818
490288,North,Gadget,577
490315,North,Widget,697
490316,North,Doohickey,607
490338,North,Widget,572
490340,North,Widget,529
490341,North,Gizmo,869
490348,North,Gadget,617
490353,North,Gizmo,705
490355,North,Doohickey,741
490358,North,Widget,723
490363,North,Gizmo,516
490377,North,Gizmo,971
490383,North,Widget,670
490385,North,Gadget,549
490387,North,Doohickey,874
490389,North,Widget,761
490407,North,Gizmo,886
490410,North,Widget,507
490413,North,Gizmo,911
490416,North,Widget,539
490428,North,Gadget,792
490430,North,Widget,783
490451,North,Gizmo,614
490467,North,Doohickey,504
490469,North,Gizmo,520
490472,North,Gizmo,816
490481,North,Widget,911
490488,North,Gadget,717
490491,North,Widget,953
490497,North,Gadget,724
490511,North,Doohickey,840
490513,North,Widget,869
490515,North,Doohickey,824
490521,North,Gizmo,778
490525,North,Gizmo,955
490528,North,Doohickey,742
490542,North,Doohickey,847
490546,North,Gadget,542
490570,North,Gizmo,594
490573,North,Gizmo,921
490577,North,Doohickey,892
490600,North,Gadget,832
490601,North,Widget,532
490617,North,Widget,796
490640,North,Gizmo,868
490645,North,Doohickey,901
490670,North,Widget,819
490672,North,Doohickey,629
490675,North,Doohickey,981
490682,North,Widget,523
490691,North,Doohickey,759
490697,North,Widget,760
490701,North,Widget,977
490722,North,Gizmo,605
490739,North,Widget,965
490766,North,Doohickey,565
490768,North,Widget,896
490787,North,Widget,520
490793,North,Doohickey,781
490795,North,Gadget,605
490800,North,Gadget,783
490801,North,Gizmo,805
490804,North,Gadget,843
490814,North,Doohickey,546
490830,North,Gadget,565
490831,North,Gizmo,564
490840,North,Widget,882
490841,North,Widget,871
490849,North,Doohickey,907
490857,North,Gadget,552
490894,North,Gadget,964
490897,North,Doohickey,871
490906,North,Gizmo,555
490932,North,Doohickey,558
490942,North,Doohickey,525
490943,North,Widget,602
490946,North,Gizmo,971
490949,North,Gizmo,739
490960,North,Gadget,886
490963,North,Gadget,674
490975,North,Gadget,976
490980,North,Doohickey,796
490982,North,Gizmo,591
490986,North,Doohickey,960
490987,North,Gadget,891
490997,North,Gizmo,802
491002,North,Gadget,877
491008,North,Doohickey,654
491011,North,Widget,527
491012,North,Widget,891
491014,North,Doohickey,738
491016,North,Doohickey,765
491018,North,Gadget,730
491019,North,Widget,939
491033,North,Doohickey,791
491048,North,Gadget,580
491050,North,Doohickey,560
491064,North,Doohickey,776
491066,North,Gizmo,533
491070,North,Gadget,509
491072,North,Gizmo,568
491076,North,Gizmo,593
491077,North,Widget,852
491097,North,Gizmo,885
491102,North,Widget,785
491109,North,Gadget,537
491116,North,Gizmo,992
491122,North,Widget,509
491124,North,Gadget,657
491129,North,Doohickey,803
491139,North,Doohickey,980
491146,North,Widget,826
491149,North,Widget,762
491150,North,Doohickey,917
491152,North,Gizmo,913
491156,North,Doohickey,514
491160,North,Doohickey,706
491179,North,Gizmo,827
491181,North,Doohickey,530
491185,North,Widget,564
491207,North,Gadget,657
491218,North,Gizmo,586
491220,North,Gizmo,604
491224,North,Widget,509
491228,North,Doohickey,888
491242,North,Doohickey,939
491268,North,Gizmo,601
491283,North,Widget,694
491284,North,Widget,676
491286,North,Gadget,941
491292,North,Gadget,977
491311,North,Gizmo,838
491315,North,Doohickey,530
491329,North,Widget,505
491332,North,Doohickey,794
491335,North,Doohickey,678
491350,North,Gizmo,989
491360,North,Gadget,803
491371,North,Doohickey,785
491376,North,Widget,727
491380,North,Widget,518
491387,North,Widget,922
491393,North,Gadget,891
491396,North,Gadget,763
491399,North,Doohickey,741
491403,North,Gadget,727
491406,North,Gadget,844
491408,North,Doohickey,539
491409,North,Doohickey,654
491423,North,Gadget,784
491424,North,Gadget,944
491429,North,Widget,847
491438,North,Doohickey,544
491470,North,Gadget,997
491473,North,Doohickey,825
491476,North,Gizmo,923
491477,North,Gizmo,690
491489,North,Doohickey,809
491491,North,Doohickey,739
491509,North,Widget,822
491511,North,Gadget,596
491519,North,Widget,584
491524,North,Widget,728
491532,North,Doohickey,745
491536,North,Gadget,696
491538,North,Gizmo,935
491545,North,Gadget,984
491547,North,Doohickey,857
491550,North,Gadget,578
491551,North,Gizmo,698
491559,North,Gadget,762
491567,North,Widget,708
491568,North,Gizmo,740
491575,North,Widget,794
491584,North,Widget,765
491592,North,Gizmo,997
491616,North,Gadget,999
491646,North,Gizmo,852
491655,North,Gadget,803
491674,North,Widget,632
491682,North,Gizmo,518
491694,North,Widget,884
491698,North,Doohickey,993
491704,North,Doohickey,604
491708,North,Widget,578
491709,North,Widget,712
491715,North,Gizmo,612
491722,North,Widget,966
491732,North,Doohickey,992
491738,North,Widget,811
491740,North,Gizmo,955
491744,North,Widget,557
491745,North,Doohickey,554
491768,North,Gizmo,764
491771,North,Widget,940
491780,North,Widget,953
491792,North,Widget,952
491794,North,Widget,712
491795,North,Gizmo,878
491796,North,Gadget,967
491800,North,Gizmo,978
491806,North,Doohickey,890
491823,North,Widget,847
491850,North,Doohickey,866
491851,North,Doohickey,810
491857,North,Doohickey,661
491858,North,Widget,572
491861,North,Doohickey,732
491886,North,Gizmo,946
491888,North,Gadget,680
491897,North,Gadget,836
491901,North,Gizmo,828
491905,North,Gadget,776
491919,North,Gizmo,944
491933,North,Widget,958
491954,North,Doohickey,759
491957,North,Gizmo,765
491969,North,Widget,899
491976,North,Gizmo,774
491995,North,Widget,844
492001,North,Doohickey,880
492003,North,Gadget,619
492008,North,Doohickey,630
492017,North,Gadget,581
492019,North,Doohickey,907
492024,North,Gizmo,674
492032,North,Gizmo,825
492037,North,Doohickey,756
492039,North,Gizmo,752
492048,North,Doohickey,819
492051,North,Gadget,902
492053,North,Gadget,584
492055,North,Doohickey,901
492061,North,Widget,735
492062,North,Doohickey,988
492080,North,Widget,948
492083,North,Gadget,802
492090,North,Gizmo,863
492091,North,Doohickey,774
492100,North,Widget,515
492105,North,Gizmo,866
492132,North,Doohickey,999
492140,North,Widget,886
492143,North,Gizmo,724
492145,North,Doohickey,923
492146,North,Doohickey,527
492161,North,Doohickey,742
492172,North,Gadget,733
492178,North,Gadget,589
492190,North,Widget,877
492191,North,Doohickey,797
492192,North,Gizmo,664
492212,North,Gizmo,701
492215,North,Gizmo,692
492232,North,Doohickey,689
492236,North,Widget,537
492265,North,Gizmo,558
492284,North,Gizmo,708
492289,North,Gizmo,579
492291,North,Gadget,573
492302,North,Gizmo,822
492307,North,Doohickey,860
492310,North,Doohickey,982
492313,North,Gizmo,609
492336,North,Widget,601
492338,North,Gadget,641
492351,North,Widget,633
492358,North,Gadget,773
492375,North,Doohickey,722
492386,North,Widget,579
492407,North,Gizmo,512
492411,North,Doohickey,674
492414,North,Doohickey,836
492415,North,Gizmo,532
492422,North,Gizmo,972
492435,North,Gadget,805
492437,North,Gizmo,709
492440,North,Doohickey,659
492447,North,Widget,868
492451,North,Gizmo,733
492454,North,Widget,959
492455,North,Widget,670
492458,North,Doohickey,610
492462,North,Doohickey,653
492468,North,Doohickey,673
492478,North,Doohickey,741
492494,North,Gizmo,675
492499,North,Widget,791
492508,North,Widget,697
492517,North,Doohickey,694
492534,North,Gadget,751
492540,North,Widget,818
492543,North,Gizmo,527
492551,North,Gadget,742
492557,North,Doohickey,526
492564,North,Doohickey,687
492570,North,Doohickey,816
492571,North,Gadget,659
492577,North,Gadget,932
492607,North,Gadget,626
492608,North,Gadget,736
492614,North,Gadget,616
492622,North,Widget,803
492623,North,Gizmo,978
492626,North,Gadget,670
492632,North,Doohickey,807
492633,North,Gizmo,703
492634,North,Doohickey,706
492638,North,Gadget,909
492650,North,Widget,878
492655,North,Gadget,747
492657,North,Gizmo,792
492658,North,Gadget,775
492664,North,Widget,514
492699,North,Widget,504
492702,North,Gizmo,953
492718,North,Doohickey,552
492727,North,Widget,816
492728,North,Gizmo,763
492740,North,Doohickey,809
492745,North,Widget,597
492763,North,Widget,890
492764,North,Widget,642
492790,North,Widget,779
492795,North,Gadget,749
492805,North,Gizmo,919
492809,North,Doohickey,849
492815,North,Gizmo,996
492816,North,Gadget,785
492817,North,Gadget,564
492825,North,Gizmo,560
492832,North,Widget,989
492838,North,Gizmo,674
492841,North,Gizmo,591
492842,North,Widget,953
492843,North,Gizmo,801
492847,North,Widget,616
492859,North,Widget,780
492887,North,Gizmo,636
492891,North,Doohickey,707
492897,North,Widget,905
492903,North,Gadget,786
492905,North,Doohickey,544
492907,North,Doohickey,521
492920,North,Gizmo,974
492924,North,Widget,729
492936,North,Widget,640
492937,North,Widget,884
492948,North,Doohickey,521
492964,North,Gadget,871
492991,North,Gadget,673
492997,North,Gizmo,969
493000,North,Gadget,793
493010,North,Doohickey,748
493018,North,Doohickey,713
493020,North,Gadget,967
493056,North,Widget,580
493062,North,Doohickey,568
493079,North,Widget,815
493089,North,Widget,890
493109,North,Doohickey,850
493113,North,Gadget,913
493119,North,Gizmo,772
493125,North,Widget,545
493128,North,Doohickey,938
493132,North,Gadget,643
493140,North,Widget,537
493146,North,Widget,540
493147,North,Gizmo,760
493149,North,Gizmo,864
493152,North,Doohickey,635
493156,North,Widget,982
493164,North,Doohickey,508
493170,North,Gizmo,615
493174,North,Gizmo,539
493189,North,Gizmo,529
493204,North,Widget,827
493213,North,Doohickey,636
493224,North,Widget,563
493229,North,Gizmo,802
493243,North,Doohickey,769
493246,North,Doohickey,697
493251,North,Doohickey,777
493263,North,Gizmo,550
493270,North,Gizmo,944
493277,North,Gadget,512
493287,North,Widget,720
493293,North,Gadget,781
493298,North,Gadget,666
493306,North,Widget,556
493307,North,Widget,973
493323,North,Gizmo,715
493328,North,Gadget,641
493334,North,Gadget,758
493361,North,Doohickey,713
493380,North,Gizmo,843
493384,North,Doohickey,558
493385,North,Widget,631
493398,North,Gizmo,831
493403,North,Gizmo,687
493411,North,Widget,565
493420,North,Gizmo,694
493422,North,Widget,861
493429,North,Doohickey,505
493456,North,Gizmo,772
493464,North,Gizmo,948
493473,North,Gadget,821
493478,North,Gadget,600
493491,North,Gizmo,650
493494,North,Widget,924
493498,North,Doohickey,726
493505,North,Gizmo,830
493530,North,Gizmo,988
493535,North,Widget,952
493538,North,Widget,652
493542,North,Doohickey,713
493544,North,Gadget,566
493547,North,Gadget,674
493550,North,Doohickey,905
493552,North,Gadget,698
493554,North,Doohickey,575
493555,North,Gizmo,892
493558,North,Gizmo,956
493567,North,Gadget,823
493573,North,Gadget,687
493579,North,Gadget,558
493580,North,Gadget,835
493583,North,Gizmo,936
493586,North,Widget,802
493587,North,Doohickey,914
493589,North,Doohickey,635
493603,North,Gadget,932
493625,North,Doohickey,806
493631,North,Doohickey,742
493655,North,Gizmo,626
493659,North,Gadget,982
493688,North,Doohickey,905
493689,North,Gadget,613
493690,North,Doohickey,630
493691,North,Widget,877
493696,North,Doohickey,826
493704,North,Gadget,756
493708,North,Gizmo,594
493709,North,Gadget,535
493717,North,Gadget,608
493724,North,Widget,772
493727,North,Gizmo,785
493737,North,Widget,587
493743,North,Gadget,520
493763,North,Widget,615
493781,North,Doohickey,677
493790,North,Gadget,608
493797,North,Gizmo,818
493820,North,Gadget,986
493825,North,Gizmo,825
493845,North,Doohickey,758
493847,North,Gadget,974
493850,North,Doohickey,783
493852,North,Gadget,570
493859,North,Widget,597
493863,North,Widget,574
493892,North,Widget,609
493903,North,Gadget,773
493912,North,Gizmo,785
493921,North,Widget,652
493923,North,Gizmo,621
493939,North,Doohickey,618
493954,North,Widget,549
493963,North,Widget,867
493965,North,Doohickey,938
493967,North,Widget,939
493982,North,Doohickey,703
493984,North,Gadget,778
493989,North,Gizmo,892
494011,North,Widget,565
494012,North,Doohickey,642
494015,North,Gizmo,599
494033,North,Gizmo,625
494034,North,Doohickey,828
494047,North,Gadget,811
494053,North,Gizmo,626
494059,North,Doohickey,548
494069,North,Doohickey,619
494073,North,Gizmo,832
494074,North,Gadget,656
494090,North,Doohickey,543
494098,North,Gadget,703
494125,North,Widget,834
494130,North,Widget,680
494133,North,Doohickey,587
494140,North,Widget,632
494141,North,Widget,930
494148,North,Doohickey,525
494155,North,Gadget,752
494159,North,Gadget,836
494160,North,Doohickey,684
494166,North,Gadget,681
494168,North,Doohickey,964
494175,North,Gizmo,744
494185,North,Widget,931
494191,North,Doohickey,843
494201,North,Widget,872
494204,North,Doohickey,744
494209,North,Widget,743
494213,North,Gizmo,994
494227,North,Gizmo,751
494237,North,Gadget,604
494249,North,Gadget,782
494252,North,Widget,734
494254,North,Widget,569
494264,North,Doohickey,880
494281,North,Gadget,531
494283,North,Gizmo,838
494291,North,Gadget,792
494305,North,Gadget,951
494311,North,Widget,528
494313,North,Doohickey,814
494332,North,Gadget,650
494338,North,Widget,735
494343,North,Gadget,932
494344,North,Gadget,539
494347,North,Gadget,609
494348,North,Doohickey,544
494351,North,Gizmo,974
494354,North,Widget,585
494357,North,Gadget,858
494363,North,Gizmo,806
494367,North,Gadget,657
494370,North,Gadget,960
494371,North,Gadget,501
494388,North,Gadget,913
494391,North,Widget,637
494396,North,Doohickey,733
494405,North,Doohickey,717
494417,North,Gadget,733
494420,North,Gadget,696
494431,North,Widget,784
494435,North,Gadget,662
494436,North,Gizmo,536
494439,North,Widget,847
494459,North,Gadget,853
494465,North,Doohickey,629
494467,North,Gadget,832
494474,North,Gadget,942
494494,North,Gizmo,624
494516,North,Gadget,528
494538,North,Doohickey,994
494550,North,Gizmo,866
494565,North,Widget,661
494569,North,Gadget,798
494577,North,Gadget,903
494586,North,Gizmo,878
494594,North,Gadget,778
494603,North,Gadget,522
